country_name,country_code,year,gdp_usd
Africa Eastern and Southern,AFE,2024,1242693542929.85
Africa Western and Central,AFW,2024,736384961061.523
Arab World,ARB,2024,3735881442514.34
Caribbean small states,CSS,2024,90344593407.0488
Central Europe and the Baltics,CEB,2024,2462005273603.48
Early-demographic dividend,EAR,2024,15808304487948.1
East Asia & Pacific,EAS,2024,32017179839273.0
East Asia & Pacific (excluding high income),EAP,2024,22260810771875.1
East Asia & Pacific (IDA & IBRD countries),TEA,2024,22233362919728.4
Euro area,EMU,2024,16485444160371.0
Europe & Central Asia,ECS,2024,29291828957768.8
Europe & Central Asia (excluding high income),ECA,2024,2451180144505.47
Europe & Central Asia (IDA & IBRD countries),TEC,2024,6131674441421.64
European Union,EUU,2024,19497115588443.6
Fragile and conflict affected situations,FCS,2024,1652895518697.74
Heavily indebted poor countries (HIPC),HPC,2024,1145111349262.57
High income,,2024,71321142708251.2
IBRD only,IBD,2024,40930410371533.4
IDA & IBRD total,IBT,2024,43823204664493.9
IDA blend,IDB,2024,1117411942661.72
IDA only,IDX,2024,1775382350298.79
IDA total,IDA,2024,2892794292960.5
Late-demographic dividend,LTE,2024,29979152245112.6
Latin America & Caribbean,LCN,2024,7110323254687.35
Latin America & Caribbean (excluding high income),LAC,2024,6168787362595.33
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,6776899040059.78
Least developed countries: UN classification,LDC,2024,1536272727812.71
Low & middle income,LMY,2024,39397098753614.4
Low income,,2024,469282282632.522
Lower middle income,,2024,7941312381464.46
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,5094721946852.29
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,2203604227426.38
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2024,2189893127426.38
Middle income,MIC,2024,38925709373017.6
North America,NAC,2024,31003826557365.0
OECD members,OED,2024,67500141717526.4
Other small states,OSS,2024,208127281931.64
Pacific island small states,PSS,2024,12124739862.5303
Post-demographic dividend,PST,2024,62787810951925.4
Pre-demographic dividend,PRE,2024,1510802883684.15
Small states,SST,2024,310642066645.913
South Asia,SAS,2024,4512296631866.32
South Asia (IDA & IBRD),TSA,2024,4512296631866.31
Sub-Saharan Africa,SSF,2024,1979078503991.37
Sub-Saharan Africa (excluding high income),SSA,2024,1827170966475.93
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,1979078503991.37
Upper middle income,,2024,30986054597959.2
World,WLD,2024,110982661180013.0
Albania,ALB,2024,27046429296.6673
Algeria,DZA,2024,269322281664.773
Andorra,AND,2024,4039842405.48117
Angola,AGO,2024,100998916781.079
Antigua and Barbuda,ATG,2024,2207622874.07407
Argentina,ARG,2024,638365455340.04
Armenia,ARM,2024,25955275380.0321
Aruba,ABW,2024,4265650673.00236
Australia,AUS,2024,1757022451652.83
Austria,AUT,2024,534790720466.822
Azerbaijan,AZE,2024,74315882352.9412
"Bahamas, The",BHS,2024,15832800000.0
Bahrain,BHR,2024,47109734308.5106
Bangladesh,BGD,2024,450119432068.852
Barbados,BRB,2024,7498050000.0
Belarus,BLR,2024,75961865471.9129
Belgium,BEL,2024,671370081636.406
Belize,BLZ,2024,3203631800.0
Benin,BEN,2024,21482643706.4249
Bermuda,BMU,2024,9233600000.0
Bolivia,BOL,2024,54881327452.9667
Bosnia and Herzegovina,BIH,2024,29613572022.8993
Botswana,BWA,2024,19402063512.9066
Brazil,BRA,2024,2185821648943.86
Brunei Darussalam,BRN,2024,15340808592.48
Bulgaria,BGR,2024,113343355779.985
Burkina Faso,BFA,2024,23124729853.0218
Burundi,BDI,2024,3082433067.32634
Cabo Verde,CPV,2024,2725414150.72735
Cambodia,KHM,2024,46352647037.2406
Cameroon,CMR,2024,53296694320.2057
Canada,CAN,2024,2243636826633.76
Central African Republic,CAF,2024,2751494281.06887
Chad,TCD,2024,19518819751.283
Chile,CHL,2024,330267137371.592
China,CHN,2024,18743803170827.2
Colombia,COL,2024,418818154879.271
Comoros,COM,2024,1440991455.45188
"Congo, Dem. Rep.",COD,2024,70962185790.7094
"Congo, Rep.",COG,2024,15719986076.6464
Costa Rica,CRI,2024,95350423176.5962
Cote d'Ivoire,CIV,2024,87113179149.284
Croatia,HRV,2024,92983810328.9088
Curacao,CUW,2024,3561178196.20713
Cyprus,CYP,2024,37634533331.8902
Czechia,CZE,2024,347034062928.479
Denmark,DNK,2024,424524722037.047
Djibouti,DJI,2024,4152145939.98458
Dominica,DMA,2024,688881481.481481
Dominican Republic,DOM,2024,124282245638.568
Ecuador,ECU,2024,124676074700.0
"Egypt, Arab Rep.",EGY,2024,389059911003.566
El Salvador,SLV,2024,35364960000.0
Equatorial Guinea,GNQ,2024,12765777677.0622
Estonia,EST,2024,43130419829.35
Eswatini,SWZ,2024,4858885840.77236
Ethiopia,ETH,2024,149740297952.986
Faroe Islands,FRO,2024,4052937169.76536
Fiji,FJI,2024,5968125909.27126
Finland,FIN,2024,298696961297.656
France,FRA,2024,3160442622465.08
French Polynesia,PYF,2024,6323716355.05009
Gabon,GAB,2024,20895684425.6752
"Gambia, The",GMB,2024,2404888749.21907
Georgia,GEO,2024,34189423544.9955
Germany,DEU,2024,4685592577804.69
Ghana,GHA,2024,82308110386.4641
Greece,GRC,2024,256238371778.118
Grenada,GRD,2024,1371918518.51852
Guatemala,GTM,2024,113199581158.203
Guinea,GIN,2024,25008678293.4084
Guinea-Bissau,GNB,2024,2218393804.54798
Guyana,GUY,2024,24662709832.1343
Haiti,HTI,2024,25224154990.7946
Honduras,HND,2024,37093565854.0437
"Hong Kong SAR, China",HKG,2024,406863396487.342
Hungary,HUN,2024,222722738925.641
Iceland,ISL,2024,33255181468.9382
India,IND,2024,3909891533858.08
Indonesia,IDN,2024,1396300098190.97
"Iran, Islamic Rep.",IRN,2024,475252089215.416
Iraq,IRQ,2024,279641257615.385
Ireland,IRL,2024,609157459747.205
Israel,ISR,2024,540379921261.681
Italy,ITA,2024,2380825077243.59
Jamaica,JAM,2024,22014397089.7689
Japan,JPN,2024,4027597523550.58
Jordan,JOR,2024,53352289577.4648
